,0,1,2
108,ASSAM,ASSAM,0
109,ASSAM,BIHAR,223306
110,ASSAM,CHANDIGARH,0
111,ASSAM,CHHATTISGARH,3
112,ASSAM,DADRA AND NAGAR HAVELI,0
113,ASSAM,DAMAN AND DIU,0
114,ASSAM,GOA,0
115,ASSAM,GUJARAT,300
116,ASSAM,HARYANA,60
117,ASSAM,HIMACHAL PRADESH,0
118,ASSAM,JAMMU AND KASHMIR,30
119,ASSAM,JHARKHAND,27974
120,ASSAM,KARNATAKA,200
121,ASSAM,KERALA,100
122,ASSAM,LAKSHADWEEP,0
123,ASSAM,MADHYA PRADESH,4037
124,ASSAM,MAHARASHTRA,2335
125,ASSAM,MANIPUR,0
126,ASSAM,MEGHALAYA,0
127,ASSAM,MIZORAM,0
128,ASSAM,NAGALAND,870
129,ASSAM,ODISHA,11036
130,ASSAM,PUDUCHERRY,0
131,ASSAM,PUNJAB,65
132,ASSAM,RAJASTHAN,340
133,ASSAM,TAMIL NADU,453
134,ASSAM,TRIPURA,281013
135,ASSAM,UTTAR PRADESH,205930
136,ASSAM,UTTARAKHAND,23
137,ASSAM,WEST BENGAL,196220
138,ASSAM,DELHI NCT,16326
139,ASSAM,SIKKIM,0
140,BIHAR,ANDAMAN AND NICOBAR ISLANDS,0
141,BIHAR,ANDHRA PRADESH,112321
142,BIHAR,ARUNACHAL PRADESH,0
143,BIHAR,ASSAM,412722
144,BIHAR,BIHAR,0
145,BIHAR,CHANDIGARH,728
146,BIHAR,CHHATTISGARH,56643
147,BIHAR,DADRA AND NAGAR HAVELI,0
148,BIHAR,DAMAN AND DIU,0
149,BIHAR,GOA,0
150,BIHAR,GUJARAT,99779
151,BIHAR,HARYANA,66789
152,BIHAR,HIMACHAL PRADESH,0
153,BIHAR,JAMMU AND KASHMIR,7906
154,BIHAR,JHARKHAND,3647194
155,BIHAR,KARNATAKA,15428
156,BIHAR,KERALA,4371
157,BIHAR,LAKSHADWEEP,0
158,BIHAR,MADHYA PRADESH,502902
159,BIHAR,MAHARASHTRA,373714
160,BIHAR,MANIPUR,0
161,BIHAR,MEGHALAYA,0
162,BIHAR,MIZORAM,0
163,BIHAR,NAGALAND,30
164,BIHAR,ODISHA,176949
165,BIHAR,PUDUCHERRY,0
166,BIHAR,PUNJAB,57249
167,BIHAR,RAJASTHAN,133297
168,BIHAR,TAMIL NADU,35101
169,BIHAR,TRIPURA,20472
170,BIHAR,UTTAR PRADESH,3383445
171,BIHAR,UTTARAKHAND,35898
172,BIHAR,WEST BENGAL,2405063
173,BIHAR,DELHI NCT,77548
174,BIHAR,SIKKIM,0
175,CHANDIGARH,ANDAMAN AND NICOBAR ISLANDS,0
176,CHANDIGARH,ANDHRA PRADESH,0
177,CHANDIGARH,ARUNACHAL PRADESH,0
178,CHANDIGARH,ASSAM,0
179,CHANDIGARH,BIHAR,33390
180,CHANDIGARH,CHANDIGARH,0
181,CHANDIGARH,CHHATTISGARH,0
182,CHANDIGARH,DADRA AND NAGAR HAVELI,0
183,CHANDIGARH,DAMAN AND DIU,0
184,CHANDIGARH,GOA,0
185,CHANDIGARH,GUJARAT,0
186,CHANDIGARH,HARYANA,59207
187,CHANDIGARH,HIMACHAL PRADESH,835
188,CHANDIGARH,JAMMU AND KASHMIR,0
189,CHANDIGARH,JHARKHAND,0
190,CHANDIGARH,KARNATAKA,0
191,CHANDIGARH,KERALA,0
192,CHANDIGARH,LAKSHADWEEP,0
193,CHANDIGARH,MADHYA PRADESH,0
194,CHANDIGARH,MAHARASHTRA,0
195,CHANDIGARH,MANIPUR,0
196,CHANDIGARH,MEGHALAYA,0
197,CHANDIGARH,MIZORAM,0
198,CHANDIGARH,NAGALAND,0
199,CHANDIGARH,ODISHA,0
200,CHANDIGARH,PUDUCHERRY,0
201,CHANDIGARH,PUNJAB,5652
202,CHANDIGARH,RAJASTHAN,1150
203,CHANDIGARH,TAMIL NADU,0
204,CHANDIGARH,TRIPURA,0
205,CHANDIGARH,UTTAR PRADESH,463330
206,CHANDIGARH,UTTARAKHAND,23304
207,CHANDIGARH,WEST BENGAL,0
208,CHANDIGARH,DELHI NCT,0
209,CHANDIGARH,SIKKIM,0
210,CHHATTISGARH,ANDAMAN AND NICOBAR ISLANDS,0
211,CHHATTISGARH,ANDHRA PRADESH,57466
212,CHHATTISGARH,ARUNACHAL PRADESH,0
213,CHHATTISGARH,ASSAM,0
214,CHHATTISGARH,BIHAR,163310
215,CHHATTISGARH,CHANDIGARH,0
216,CHHATTISGARH,CHHATTISGARH,0
217,CHHATTISGARH,DADRA AND NAGAR HAVELI,0
218,CHHATTISGARH,DAMAN AND DIU,0
219,CHHATTISGARH,GOA,0
220,CHHATTISGARH,GUJARAT,10774
221,CHHATTISGARH,HARYANA,16279
222,CHHATTISGARH,HIMACHAL PRADESH,0
223,CHHATTISGARH,JAMMU AND KASHMIR,2021
224,CHHATTISGARH,JHARKHAND,87457
225,CHHATTISGARH,KARNATAKA,0
226,CHHATTISGARH,KERALA,4816
227,CHHATTISGARH,LAKSHADWEEP,0
228,CHHATTISGARH,MADHYA PRADESH,375749
229,CHHATTISGARH,MAHARASHTRA,209029
230,CHHATTISGARH,MANIPUR,0
231,CHHATTISGARH,MEGHALAYA,0
232,CHHATTISGARH,MIZORAM,0
233,CHHATTISGARH,NAGALAND,0
234,CHHATTISGARH,ODISHA,224221
235,CHHATTISGARH,PUDUCHERRY,0
236,CHHATTISGARH,PUNJAB,15382
237,CHHATTISGARH,RAJASTHAN,29859
238,CHHATTISGARH,TAMIL NADU,10401
239,CHHATTISGARH,TRIPURA,0
240,CHHATTISGARH,UTTAR PRADESH,261756
241,CHHATTISGARH,UTTARAKHAND,427
242,CHHATTISGARH,WEST BENGAL,195432
243,CHHATTISGARH,DELHI NCT,21990
244,CHHATTISGARH,SIKKIM,0
245,DADRA AND NAGAR HAVELI,ANDAMAN AND NICOBAR ISLANDS,0
246,DADRA AND NAGAR HAVELI,ANDHRA PRADESH,0
247,DADRA AND NAGAR HAVELI,ARUNACHAL PRADESH,0
248,DADRA AND NAGAR HAVELI,ASSAM,0
249,DADRA AND NAGAR HAVELI,BIHAR,0
250,DADRA AND NAGAR HAVELI,CHANDIGARH,0
251,DADRA AND NAGAR HAVELI,CHHATTISGARH,0
252,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,0
253,DADRA AND NAGAR HAVELI,DAMAN AND DIU,0
254,DADRA AND NAGAR HAVELI,GOA,0
255,DADRA AND NAGAR HAVELI,GUJARAT,0
256,DADRA AND NAGAR HAVELI,HARYANA,0
