GUJARAT,UTTARAKHAND,{'weight': 197}
GUJARAT,WEST BENGAL,{'weight': 55297}
GUJARAT,DELHI NCT,{'weight': 15949}
HARYANA,HIMACHAL PRADESH,{'weight': 92481}
HARYANA,JAMMU AND KASHMIR,{'weight': 165801}
HARYANA,JHARKHAND,{'weight': 3475}
HARYANA,MADHYA PRADESH,{'weight': 8436}
HARYANA,MAHARASHTRA,{'weight': 43338}
HARYANA,ODISHA,{'weight': 2385}
HARYANA,PUNJAB,{'weight': 938758}
HARYANA,RAJASTHAN,{'weight': 626189}
HARYANA,UTTAR PRADESH,{'weight': 212309}
HARYANA,UTTARAKHAND,{'weight': 66557}
HARYANA,WEST BENGAL,{'weight': 10490}
HARYANA,DELHI NCT,{'weight': 1238331}
HIMACHAL PRADESH,PUNJAB,{'weight': 32073}
HIMACHAL PRADESH,RAJASTHAN,{'weight': 79247}
JAMMU AND KASHMIR,JHARKHAND,{'weight': 11677}
JAMMU AND KASHMIR,MADHYA PRADESH,{'weight': 11249}
JAMMU AND KASHMIR,MAHARASHTRA,{'weight': 21901}
JAMMU AND KASHMIR,PUNJAB,{'weight': 245933}
JAMMU AND KASHMIR,RAJASTHAN,{'weight': 187383}
JAMMU AND KASHMIR,UTTAR PRADESH,{'weight': 608115}
JAMMU AND KASHMIR,UTTARAKHAND,{'weight': 39}
JAMMU AND KASHMIR,WEST BENGAL,{'weight': 32312}
JAMMU AND KASHMIR,DELHI NCT,{'weight': 97056}
JHARKHAND,KARNATAKA,{'weight': 29025}
JHARKHAND,MADHYA PRADESH,{'weight': 11482}
JHARKHAND,MAHARASHTRA,{'weight': 127322}
JHARKHAND,ODISHA,{'weight': 279877}
JHARKHAND,PUNJAB,{'weight': 2104}
JHARKHAND,RAJASTHAN,{'weight': 10902}
JHARKHAND,TAMIL NADU,{'weight': 38687}
JHARKHAND,TRIPURA,{'weight': 1133}
JHARKHAND,UTTAR PRADESH,{'weight': 171433}
JHARKHAND,UTTARAKHAND,{'weight': 3648}
JHARKHAND,WEST BENGAL,{'weight': 2876313}
JHARKHAND,DELHI NCT,{'weight': 4016}
KARNATAKA,KERALA,{'weight': 259263}
