,From,To,Weight
128,DAMAN & DIU,HIMACHAL PRADESH,24
129,MIZORAM,BIHAR,24
130,SIKKIM,MANIPUR,24
131,DAMAN & DIU,KERALA,24
132,GOA,ASSAM,25
133,ANDAMAN & NICOBAR ISLANDS,LAKSHADWEEP,25
134,LAKSHADWEEP,UTTARAKHAND,26
135,DAMAN & DIU,SIKKIM,26
136,DAMAN & DIU,TAMIL NADU,26
137,MIZORAM,JAMMU & KASHMIR,28
138,DAMAN & DIU,HARYANA,28
139,CHANDIGARH,SIKKIM,28
140,MANIPUR,PUDUCHERRY,28
141,DAMAN & DIU,NCT OF DELHI,29
142,GOA,SIKKIM,29
143,LAKSHADWEEP,ANDHRA PRADESH,29
144,TRIPURA,PUDUCHERRY,29
145,TRIPURA,DAMAN & DIU,30
146,PUDUCHERRY,GOA,30
147,UTTARAKHAND,PUDUCHERRY,30
148,LAKSHADWEEP,JAMMU & KASHMIR,31
149,NAGALAND,CHANDIGARH,31
150,CHANDIGARH,NAGALAND,31
151,ANDAMAN & NICOBAR ISLANDS,DAMAN & DIU,31
152,DAMAN & DIU,ANDHRA PRADESH,31
153,HIMACHAL PRADESH,ANDAMAN & NICOBAR ISLANDS,32
154,KERALA,MANIPUR,33
155,DADRA & NAGAR HAVELI,MADHYA PRADESH,33
156,PUDUCHERRY,MADHYA PRADESH,33
157,ANDAMAN & NICOBAR ISLANDS,HIMACHAL PRADESH,34
158,LAKSHADWEEP,HARYANA,34
159,HIMACHAL PRADESH,MANIPUR,34
160,MADHYA PRADESH,MANIPUR,34
161,ANDAMAN & NICOBAR ISLANDS,ASSAM,34
162,PUDUCHERRY,JHARKHAND,34
163,MIZORAM,ODISHA,34
164,PUDUCHERRY,ANDAMAN & NICOBAR ISLANDS,34
165,PUNJAB,MANIPUR,35
166,UTTARAKHAND,MANIPUR,35
167,MEGHALAYA,GOA,35
168,HIMACHAL PRADESH,TRIPURA,36
169,CHHATTISGARH,TRIPURA,36
170,LAKSHADWEEP,WEST BENGAL,36
171,CHANDIGARH,DAMAN & DIU,36
172,DADRA & NAGAR HAVELI,KARNATAKA,36
173,JAMMU & KASHMIR,PUDUCHERRY,36
174,JAMMU & KASHMIR,MANIPUR,37
175,JAMMU & KASHMIR,DADRA & NAGAR HAVELI,37
176,ANDHRA PRADESH,MANIPUR,38
177,ODISHA,MIZORAM,38
178,MIZORAM,SIKKIM,39
179,CHANDIGARH,MEGHALAYA,39
180,HARYANA,MANIPUR,40
181,MIZORAM,CHANDIGARH,41
182,TRIPURA,CHANDIGARH,41
183,DAMAN & DIU,UTTARAKHAND,41
184,JHARKHAND,MANIPUR,41
185,WEST BENGAL,LAKSHADWEEP,41
186,ANDHRA PRADESH,LAKSHADWEEP,41
187,DAMAN & DIU,KARNATAKA,44
188,LAKSHADWEEP,TAMIL NADU,44
189,DADRA & NAGAR HAVELI,NCT OF DELHI,45
190,CHHATTISGARH,SIKKIM,45
191,LAKSHADWEEP,ASSAM,45
192,SIKKIM,CHHATTISGARH,45
193,JAMMU & KASHMIR,DAMAN & DIU,45
194,SIKKIM,CHANDIGARH,46
195,PUDUCHERRY,RAJASTHAN,46
196,CHHATTISGARH,MEGHALAYA,46
197,DADRA & NAGAR HAVELI,UTTARAKHAND,47
198,PUNJAB,MIZORAM,47
199,MADHYA PRADESH,MIZORAM,48
200,PUDUCHERRY,UTTARAKHAND,49
201,GUJARAT,LAKSHADWEEP,49
202,JAMMU & KASHMIR,ANDAMAN & NICOBAR ISLANDS,49
203,TRIPURA,ANDAMAN & NICOBAR ISLANDS,50
204,ARUNACHAL PRADESH,CHANDIGARH,51
205,LAKSHADWEEP,DAMAN & DIU,51
206,NAGALAND,GOA,51
207,MIZORAM,HIMACHAL PRADESH,53
208,GOA,CHANDIGARH,53
209,JHARKHAND,PUDUCHERRY,53
210,NAGALAND,JAMMU & KASHMIR,55
211,PUNJAB,TRIPURA,55
212,LAKSHADWEEP,MADHYA PRADESH,55
213,LAKSHADWEEP,DADRA & NAGAR HAVELI,55
214,LAKSHADWEEP,RAJASTHAN,57
215,MANIPUR,CHHATTISGARH,57
216,DAMAN & DIU,RAJASTHAN,58
217,PUDUCHERRY,BIHAR,58
218,CHHATTISGARH,ARUNACHAL PRADESH,58
219,HARYANA,MIZORAM,58
220,KARNATAKA,MIZORAM,59
221,GOA,DAMAN & DIU,59
222,HARYANA,PUDUCHERRY,62
223,TRIPURA,HIMACHAL PRADESH,63
224,ANDAMAN & NICOBAR ISLANDS,UTTARAKHAND,63
225,ARUNACHAL PRADESH,MANIPUR,63
226,ANDHRA PRADESH,MIZORAM,64
227,SIKKIM,JAMMU & KASHMIR,65
228,TAMIL NADU,MIZORAM,66
229,HIMACHAL PRADESH,DAMAN & DIU,66
230,PUDUCHERRY,PUNJAB,67
231,CHHATTISGARH,NAGALAND,67
232,SIKKIM,MEGHALAYA,67
233,GOA,PUDUCHERRY,68
234,MEGHALAYA,CHHATTISGARH,69
235,RAJASTHAN,MIZORAM,70
236,CHANDIGARH,GOA,70
237,DADRA & NAGAR HAVELI,RAJASTHAN,71
238,TRIPURA,SIKKIM,73
239,GUJARAT,ARUNACHAL PRADESH,74
240,SIKKIM,GUJARAT,74
241,HARYANA,TRIPURA,75
242,DAMAN & DIU,LAKSHADWEEP,75
243,GOA,JAMMU & KASHMIR,76
244,SIKKIM,KERALA,76
245,GOA,HIMACHAL PRADESH,77
246,LAKSHADWEEP,NCT OF DELHI,77
247,TRIPURA,BIHAR,77
248,KARNATAKA,LAKSHADWEEP,77
249,MIZORAM,KERALA,77
250,NAGALAND,HIMACHAL PRADESH,78
251,PUDUCHERRY,ODISHA,78
252,NAGALAND,CHHATTISGARH,78
253,ARUNACHAL PRADESH,JAMMU & KASHMIR,79
254,ANDAMAN & NICOBAR ISLANDS,SIKKIM,79
255,GUJARAT,NAGALAND,80
256,MAHARASHTRA,MIZORAM,80
257,SIKKIM,JHARKHAND,80
258,MIZORAM,JHARKHAND,81
259,UTTARAKHAND,ANDAMAN & NICOBAR ISLANDS,81
260,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,83
261,HIMACHAL PRADESH,DADRA & NAGAR HAVELI,85
262,SIKKIM,NAGALAND,86
263,TRIPURA,CHHATTISGARH,86
264,ANDAMAN & NICOBAR ISLANDS,MADHYA PRADESH,86
265,GUJARAT,SIKKIM,87
266,SIKKIM,ARUNACHAL PRADESH,87
267,ANDAMAN & NICOBAR ISLANDS,PUDUCHERRY,88
268,MEGHALAYA,JAMMU & KASHMIR,89
269,PUDUCHERRY,UTTAR PRADESH,90
270,ARUNACHAL PRADESH,MIZORAM,91
271,GOA,DADRA & NAGAR HAVELI,91
272,MIZORAM,HARYANA,92
273,MADHYA PRADESH,TRIPURA,93
274,UTTARAKHAND,MIZORAM,95
275,DADRA & NAGAR HAVELI,TAMIL NADU,96
276,PUNJAB,PUDUCHERRY,96
277,PUDUCHERRY,WEST BENGAL,97
278,JAMMU & KASHMIR,TRIPURA,99
279,UTTARAKHAND,TRIPURA,100
280,KERALA,TRIPURA,100
281,TAMIL NADU,MANIPUR,101
282,PUDUCHERRY,HARYANA,102
283,KARNATAKA,TRIPURA,102
284,MANIPUR,JAMMU & KASHMIR,103
285,KERALA,MIZORAM,103
286,MEGHALAYA,CHANDIGARH,104
287,SIKKIM,ODISHA,104
288,NAGALAND,JHARKHAND,105
289,TAMIL NADU,SIKKIM,106
290,MEGHALAYA,HIMACHAL PRADESH,109
291,HARYANA,DAMAN & DIU,110
292,GOA,BIHAR,112
293,DAMAN & DIU,GOA,112
294,GUJARAT,TRIPURA,113
295,LAKSHADWEEP,PUNJAB,115
296,DADRA & NAGAR HAVELI,LAKSHADWEEP,115
297,MANIPUR,HIMACHAL PRADESH,116
298,TRIPURA,MANIPUR,116
299,ARUNACHAL PRADESH,JHARKHAND,116
300,DADRA & NAGAR HAVELI,DAMAN & DIU,116
301,SIKKIM,ANDHRA PRADESH,117
