From,To,Weight
Sikkim,State - MANIPUR (14),24
Daman & Diu,State - KERALA (32),24
Goa,State - ASSAM (18),25
Andaman & Nicobar Islands,State - LAKSHADWEEP (31),25
Lakshadweep,State - UTTARAKHAND (05),26
Daman & Diu,State - SIKKIM (11),26
Daman & Diu,State - TAMIL NADU (33),26
Mizoram,State - JAMMU & KASHMIR (01),28
Daman & Diu,State - HARYANA (06),28
Chandigarh,State - SIKKIM (11),28
Manipur,State - PUDUCHERRY (34),28
Daman & Diu,State - NCT OF DELHI (07),29
Goa,State - SIKKIM (11),29
Lakshadweep,State - ANDHRA PRADESH (28),29
Tripura,State - PUDUCHERRY (34),29
Tripura,State - DAMAN & DIU (25),30
Puducherry,State - GOA (30),30
Uttarakhand,State - PUDUCHERRY (34),30
Lakshadweep,State - JAMMU & KASHMIR (01),31
Nagaland,State - CHANDIGARH (04),31
Chandigarh,State - NAGALAND (13),31
Andaman & Nicobar Islands,State - DAMAN & DIU (25),31
Daman & Diu,State - ANDHRA PRADESH (28),31
Himachal Pradesh,State - ANDAMAN & NICOBAR ISLANDS (35),32
Kerala,State - MANIPUR (14),33
Dadra & Nagar Haveli,State - MADHYA PRADESH (23),33
Puducherry,State - MADHYA PRADESH (23),33
Andaman & Nicobar Islands,State - HIMACHAL PRADESH (02),34
Lakshadweep,State - HARYANA (06),34
Himachal Pradesh,State - MANIPUR (14),34
Madhya Pradesh,State - MANIPUR (14),34
Andaman & Nicobar Islands,State - ASSAM (18),34
Puducherry,State - JHARKHAND (20),34
Mizoram,State - ODISHA (21),34
Puducherry,State - ANDAMAN & NICOBAR ISLANDS (35),34
Punjab,State - MANIPUR (14),35
Uttarakhand,State - MANIPUR (14),35
Meghalaya,State - GOA (30),35
Himachal Pradesh,State - TRIPURA (16),36
Chhattisgarh,State - TRIPURA (16),36
Lakshadweep,State - WEST BENGAL (19),36
Chandigarh,State - DAMAN & DIU (25),36
Dadra & Nagar Haveli,State - KARNATAKA (29),36
Jammu & Kashmir,State - PUDUCHERRY (34),36
Jammu & Kashmir,State - MANIPUR (14),37
Jammu & Kashmir,State - DADRA & NAGAR HAVELI (26),37
Andhra Pradesh,State - MANIPUR (14),38
Odisha,State - MIZORAM (15),38
Mizoram,State - SIKKIM (11),39
Chandigarh,State - MEGHALAYA (17),39
Haryana,State - MANIPUR (14),40
Mizoram,State - CHANDIGARH (04),41
Tripura,State - CHANDIGARH (04),41
Daman & Diu,State - UTTARAKHAND (05),41
Jharkhand,State - MANIPUR (14),41
West Bengal,State - LAKSHADWEEP (31),41
Andhra Pradesh,State - LAKSHADWEEP (31),41
Daman & Diu,State - KARNATAKA (29),44
Lakshadweep,State - TAMIL NADU (33),44
Dadra & Nagar Haveli,State - NCT OF DELHI (07),45
Chhattisgarh,State - SIKKIM (11),45
Lakshadweep,State - ASSAM (18),45
Sikkim,State - CHHATTISGARH (22),45
Jammu & Kashmir,State - DAMAN & DIU (25),45
Sikkim,State - CHANDIGARH (04),46
Puducherry,State - RAJASTHAN (08),46
Chhattisgarh,State - MEGHALAYA (17),46
Dadra & Nagar Haveli,State - UTTARAKHAND (05),47
Punjab,State - MIZORAM (15),47
Madhya Pradesh,State - MIZORAM (15),48
Puducherry,State - UTTARAKHAND (05),49
Gujarat,State - LAKSHADWEEP (31),49
Jammu & Kashmir,State - ANDAMAN & NICOBAR ISLANDS (35),49
Tripura,State - ANDAMAN & NICOBAR ISLANDS (35),50
Arunachal Pradesh,State - CHANDIGARH (04),51
Lakshadweep,State - DAMAN & DIU (25),51
Nagaland,State - GOA (30),51
Mizoram,State - HIMACHAL PRADESH (02),53
Goa,State - CHANDIGARH (04),53
Jharkhand,State - PUDUCHERRY (34),53
Nagaland,State - JAMMU & KASHMIR (01),55
Punjab,State - TRIPURA (16),55
Lakshadweep,State - MADHYA PRADESH (23),55
Lakshadweep,State - DADRA & NAGAR HAVELI (26),55
Lakshadweep,State - RAJASTHAN (08),57
Manipur,State - CHHATTISGARH (22),57
Daman & Diu,State - RAJASTHAN (08),58
Puducherry,State - BIHAR (10),58
Chhattisgarh,State - ARUNACHAL PRADESH (12),58
Haryana,State - MIZORAM (15),58
Karnataka,State - MIZORAM (15),59
Goa,State - DAMAN & DIU (25),59
Haryana,State - PUDUCHERRY (34),62
Tripura,State - HIMACHAL PRADESH (02),63
Andaman & Nicobar Islands,State - UTTARAKHAND (05),63
Arunachal Pradesh,State - MANIPUR (14),63
Andhra Pradesh,State - MIZORAM (15),64
Sikkim,State - JAMMU & KASHMIR (01),65
Tamil Nadu,State - MIZORAM (15),66
Himachal Pradesh,State - DAMAN & DIU (25),66
Puducherry,State - PUNJAB (03),67
Chhattisgarh,State - NAGALAND (13),67
Sikkim,State - MEGHALAYA (17),67
Goa,State - PUDUCHERRY (34),68
Meghalaya,State - CHHATTISGARH (22),69
Rajasthan,State - MIZORAM (15),70
Chandigarh,State - GOA (30),70
Dadra & Nagar Haveli,State - RAJASTHAN (08),71
Tripura,State - SIKKIM (11),73
Gujarat,State - ARUNACHAL PRADESH (12),74
Sikkim,State - GUJARAT (24),74
Haryana,State - TRIPURA (16),75
Daman & Diu,State - LAKSHADWEEP (31),75
Goa,State - JAMMU & KASHMIR (01),76
Sikkim,State - KERALA (32),76
Goa,State - HIMACHAL PRADESH (02),77
Lakshadweep,State - NCT OF DELHI (07),77
Tripura,State - BIHAR (10),77
Karnataka,State - LAKSHADWEEP (31),77
Mizoram,State - KERALA (32),77
Nagaland,State - HIMACHAL PRADESH (02),78
Puducherry,State - ODISHA (21),78
Nagaland,State - CHHATTISGARH (22),78
Arunachal Pradesh,State - JAMMU & KASHMIR (01),79
Andaman & Nicobar Islands,State - SIKKIM (11),79
Gujarat,State - NAGALAND (13),80
Maharashtra,State - MIZORAM (15),80
Sikkim,State - JHARKHAND (20),80
Mizoram,State - JHARKHAND (20),81
Uttarakhand,State - ANDAMAN & NICOBAR ISLANDS (35),81
Andaman & Nicobar Islands,State - CHANDIGARH (04),83
Himachal Pradesh,State - DADRA & NAGAR HAVELI (26),85
Sikkim,State - NAGALAND (13),86
Tripura,State - CHHATTISGARH (22),86
Andaman & Nicobar Islands,State - MADHYA PRADESH (23),86
Gujarat,State - SIKKIM (11),87
Sikkim,State - ARUNACHAL PRADESH (12),87
Andaman & Nicobar Islands,State - PUDUCHERRY (34),88
